trial=1, random: fp=6.000_14.000_9.000_FFFFFFFFFFFFFFFF, mean(g)=0.2618, std(g)=0.0330, min(g)=0.2048, max(g)=0.3220, mean(xi)=0.1393, D(mean/p10/p50/p90)=(0.8607/0.8374/0.8614/0.8781), avgQ=2.589970, dv=0.0000, sv=1.0000
trial=1, norm: fp=6.000_14.000_12.000_FFFFFFFFFFFFFFFF, mean(g)=0.2538, std(g)=0.0312, min(g)=0.1988, max(g)=0.3142, mean(xi)=0.1354, D(mean/p10/p50/p90)=(0.8646/0.8417/0.8660/0.8855), avgQ=2.589975, dv=0.0000, sv=1.0000
trial=1, qoe: fp=6.000_14.000_6.000_FFFFFFFFFFFFFFFF, mean(g)=0.2623, std(g)=0.0301, min(g)=0.2107, max(g)=0.3175, mean(xi)=0.1396, D(mean/p10/p50/p90)=(0.8604/0.8363/0.8629/0.8811), avgQ=2.589970, dv=0.0000, sv=1.0000
trial=1, exhaustive: fp=6.000_14.000_12.000_FFFFFFFFFFFFFFFF, mean(g)=0.2538, std(g)=0.0312, min(g)=0.1988, max(g)=0.3142, mean(xi)=0.1354, D(mean/p10/p50/p90)=(0.8646/0.8417/0.8660/0.8855), avgQ=2.589975, dv=0.0000, sv=1.0000
trial=1, ga_placeholder: fp=0.000_0.000_0.000_FFFFFFFFFFFFFFFF, mean(g)=0.2615, std(g)=0.0287, min(g)=0.2081, max(g)=0.3187, mean(xi)=0.1392, D(mean/p10/p50/p90)=(0.8608/0.8459/0.8608/0.8759), avgQ=2.589971, dv=0.0000, sv=1.0000
trial=2, random: fp=6.000_14.000_11.000_FFFFFFFFFFFFFFFF, mean(g)=0.2633, std(g)=0.0392, min(g)=0.2027, max(g)=0.3294, mean(xi)=0.1400, D(mean/p10/p50/p90)=(0.8600/0.8296/0.8588/0.8817), avgQ=2.589969, dv=0.0000, sv=1.0000
trial=2, norm: fp=6.000_14.000_12.000_FFFFFFFFFFFFFFFF, mean(g)=0.2693, std(g)=0.0365, min(g)=0.2103, max(g)=0.3415, mean(xi)=0.1430, D(mean/p10/p50/p90)=(0.8570/0.8314/0.8601/0.8818), avgQ=2.589966, dv=0.0000, sv=1.0000
trial=2, qoe: fp=6.000_14.000_12.000_FFFFFFFFFFFFFFFF, mean(g)=0.2727, std(g)=0.0334, min(g)=0.2116, max(g)=0.3438, mean(xi)=0.1446, D(mean/p10/p50/p90)=(0.8554/0.8315/0.8550/0.8794), avgQ=2.589964, dv=0.0000, sv=1.0000
trial=2, exhaustive: fp=6.000_14.000_12.000_FFFFFFFFFFFFFFFF, mean(g)=0.2693, std(g)=0.0365, min(g)=0.2103, max(g)=0.3415, mean(xi)=0.1430, D(mean/p10/p50/p90)=(0.8570/0.8314/0.8601/0.8818), avgQ=2.589966, dv=0.0000, sv=1.0000
trial=2, ga_placeholder: fp=0.000_0.000_0.000_FFFFFFFFFFFFFFFF, mean(g)=0.2681, std(g)=0.0353, min(g)=0.2277, max(g)=0.3423, mean(xi)=0.1424, D(mean/p10/p50/p90)=(0.8576/0.8283/0.8618/0.8773), avgQ=2.589967, dv=0.0000, sv=1.0000
trial=3, random: fp=6.000_14.000_6.000_FFFFFFFFFFFFFFFF, mean(g)=0.2587, std(g)=0.0518, min(g)=0.1725, max(g)=0.3445, mean(xi)=0.1375, D(mean/p10/p50/p90)=(0.8625/0.8259/0.8592/0.8919), avgQ=2.589972, dv=0.0000, sv=1.0000
trial=3, norm: fp=6.000_14.000_12.000_FFFFFFFFFFFFFFFF, mean(g)=0.2501, std(g)=0.0504, min(g)=0.1702, max(g)=0.3647, mean(xi)=0.1333, D(mean/p10/p50/p90)=(0.8667/0.8384/0.8712/0.8992), avgQ=2.589977, dv=0.0000, sv=1.0000
trial=3, qoe: fp=6.000_14.000_8.000_FFFFFFFFFFFFFFFF, mean(g)=0.2605, std(g)=0.0479, min(g)=0.1954, max(g)=0.3708, mean(xi)=0.1385, D(mean/p10/p50/p90)=(0.8615/0.8313/0.8665/0.8861), avgQ=2.589971, dv=0.0000, sv=1.0000
trial=3, exhaustive: fp=6.000_14.000_12.000_FFFFFFFFFFFFFFFF, mean(g)=0.2501, std(g)=0.0504, min(g)=0.1702, max(g)=0.3647, mean(xi)=0.1333, D(mean/p10/p50/p90)=(0.8667/0.8384/0.8712/0.8992), avgQ=2.589977, dv=0.0000, sv=1.0000
trial=3, ga_placeholder: fp=0.000_0.000_0.000_FFFFFFFFFFFFFFFF, mean(g)=0.2505, std(g)=0.0510, min(g)=0.1669, max(g)=0.3453, mean(xi)=0.1335, D(mean/p10/p50/p90)=(0.8665/0.8325/0.8678/0.8939), avgQ=2.589977, dv=0.0000, sv=1.0000
trial=4, random: fp=6.000_14.000_5.000_FFFFFFFFFFFFFFFF, mean(g)=0.2542, std(g)=0.0600, min(g)=0.1769, max(g)=0.4034, mean(xi)=0.1352, D(mean/p10/p50/p90)=(0.8648/0.8230/0.8735/0.8942), avgQ=2.589974, dv=0.0000, sv=1.0000
trial=4, norm: fp=6.000_14.000_12.000_FFFFFFFFFFFFFFFF, mean(g)=0.2565, std(g)=0.0624, min(g)=0.1870, max(g)=0.4049, mean(xi)=0.1363, D(mean/p10/p50/p90)=(0.8637/0.8187/0.8704/0.8973), avgQ=2.589972, dv=0.0000, sv=1.0000
trial=4, qoe: fp=6.000_14.000_8.000_FFFFFFFFFFFFFFFF, mean(g)=0.2625, std(g)=0.0669, min(g)=0.1761, max(g)=0.4551, mean(xi)=0.1392, D(mean/p10/p50/p90)=(0.8608/0.8176/0.8704/0.8934), avgQ=2.589968, dv=0.0000, sv=1.0000
trial=4, exhaustive: fp=6.000_14.000_12.000_FFFFFFFFFFFFFFFF, mean(g)=0.2565, std(g)=0.0624, min(g)=0.1870, max(g)=0.4049, mean(xi)=0.1363, D(mean/p10/p50/p90)=(0.8637/0.8187/0.8704/0.8973), avgQ=2.589972, dv=0.0000, sv=1.0000
trial=4, ga_placeholder: fp=0.000_0.000_0.000_FFFFFFFFFFFFFFFF, mean(g)=0.2504, std(g)=0.0667, min(g)=0.1776, max(g)=0.4306, mean(xi)=0.1332, D(mean/p10/p50/p90)=(0.8668/0.8261/0.8757/0.8994), avgQ=2.589976, dv=0.0000, sv=1.0000
trial=5, random: fp=6.000_14.000_12.000_FFFFFFFFFFFFFFFF, mean(g)=0.2592, std(g)=0.0502, min(g)=0.2046, max(g)=0.3432, mean(xi)=0.1378, D(mean/p10/p50/p90)=(0.8622/0.8235/0.8706/0.8885), avgQ=2.589971, dv=0.0000, sv=1.0000
trial=5, norm: fp=6.000_14.000_12.000_FFFFFFFFFFFFFFFF, mean(g)=0.2633, std(g)=0.0445, min(g)=0.2114, max(g)=0.3407, mean(xi)=0.1399, D(mean/p10/p50/p90)=(0.8601/0.8262/0.8680/0.8841), avgQ=2.589969, dv=0.0000, sv=1.0000
trial=5, qoe: fp=6.000_14.000_10.000_FFFFFFFFFFFFFFFF, mean(g)=0.2651, std(g)=0.0502, min(g)=0.2112, max(g)=0.3475, mean(xi)=0.1407, D(mean/p10/p50/p90)=(0.8593/0.8219/0.8706/0.8851), avgQ=2.589968, dv=0.0000, sv=1.0000
trial=5, exhaustive: fp=6.000_14.000_12.000_FFFFFFFFFFFFFFFF, mean(g)=0.2633, std(g)=0.0445, min(g)=0.2114, max(g)=0.3407, mean(xi)=0.1399, D(mean/p10/p50/p90)=(0.8601/0.8262/0.8680/0.8841), avgQ=2.589969, dv=0.0000, sv=1.0000
trial=5, ga_placeholder: fp=0.000_0.000_0.000_FFFFFFFFFFFFFFFF, mean(g)=0.2592, std(g)=0.0437, min(g)=0.2073, max(g)=0.3384, mean(xi)=0.1379, D(mean/p10/p50/p90)=(0.8621/0.8321/0.8682/0.8860), avgQ=2.589972, dv=0.0000, sv=1.0000
trial=6, random: fp=6.000_14.000_9.000_FFFFFFFFFFFFFFFF, mean(g)=0.2821, std(g)=0.0571, min(g)=0.2225, max(g)=0.4202, mean(xi)=0.1489, D(mean/p10/p50/p90)=(0.8511/0.7996/0.8593/0.8743), avgQ=2.589957, dv=0.0000, sv=1.0000
trial=6, norm: fp=6.000_14.000_12.000_FFFFFFFFFFFFFFFF, mean(g)=0.2787, std(g)=0.0554, min(g)=0.2173, max(g)=0.4545, mean(xi)=0.1473, D(mean/p10/p50/p90)=(0.8527/0.8305/0.8603/0.8755), avgQ=2.589959, dv=0.0000, sv=1.0000
trial=6, qoe: fp=6.000_14.000_9.000_FFFFFFFFFFFFFFFF, mean(g)=0.2797, std(g)=0.0613, min(g)=0.2177, max(g)=0.4558, mean(xi)=0.1477, D(mean/p10/p50/p90)=(0.8523/0.8076/0.8579/0.8784), avgQ=2.589958, dv=0.0000, sv=1.0000
trial=6, exhaustive: fp=6.000_14.000_12.000_FFFFFFFFFFFFFFFF, mean(g)=0.2787, std(g)=0.0554, min(g)=0.2173, max(g)=0.4545, mean(xi)=0.1473, D(mean/p10/p50/p90)=(0.8527/0.8305/0.8603/0.8755), avgQ=2.589959, dv=0.0000, sv=1.0000
