x_val,random_sum_rate,norm_sum_rate,qoe_sum_rate,exhaustive_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,qoe_avg_qoe,exhaustive_avg_qoe,ga_avg_qoe
-30,3.13055e+06,3.66091e+06,3.74661e+06,3.79866e+06,3.8379e+06,6.98029,7.04556,6.67651,6.88218,6.87592
-27.2727,3.34231e+06,3.65304e+06,3.79383e+06,3.79425e+06,3.8878e+06,6.97887,6.49484,6.52297,6.85785,6.84338
-24.5455,3.42589e+06,3.8234e+06,4.02644e+06,3.60153e+06,3.55434e+06,6.54406,6.71257,5.98231,6.7048,6.71114
-21.8182,3.50415e+06,3.55081e+06,3.54357e+06,3.56241e+06,3.63635e+06,6.18839,6.396,5.52572,6.51443,6.59227
-19.0909,3.40249e+06,3.53485e+06,3.68661e+06,3.85984e+06,3.8122e+06,5.83909,6.30124,5.06506,5.85001,5.83591
-16.3636,3.4454e+06,3.78183e+06,3.55184e+06,3.80995e+06,3.83054e+06,5.44992,5.86042,4.9585,5.472,5.34324
-13.6364,3.25129e+06,3.78182e+06,3.72169e+06,3.82799e+06,3.85137e+06,5.05094,5.27892,4.99836,5.16572,5.14313
-10.9091,3.27227e+06,3.57636e+06,3.7451e+06,3.79831e+06,3.68321e+06,5.01642,5.00245,4.99581,4.96189,4.99295
-8.18182,3.3985e+06,3.67117e+06,4.11302e+06,3.8443e+06,3.84236e+06,5.02612,4.9929,4.99829,4.95582,4.95586
-5.45455,3.60322e+06,3.81719e+06,4.07087e+06,3.98685e+06,3.90365e+06,4.99861,4.97344,4.99408,5.02158,5.02527
-2.72727,3.80086e+06,4.06886e+06,4.2089e+06,4.16373e+06,4.12456e+06,4.93227,4.98026,5.02862,5.02433,5.02346
0,4.1673e+06,4.24072e+06,4.63384e+06,4.30041e+06,4.33211e+06,4.98695,4.88327,5.0191,4.98978,4.98918
