x_val,random_sum_rate,norm_sum_rate,qoe_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,qoe_avg_qoe,ga_avg_qoe
-25,3.39012e+06,3.84076e+06,3.69201e+06,3.76972e+06,6.67822,6.98851,6.56035,6.87557
-23.1818,3.57411e+06,3.79252e+06,3.70513e+06,3.85982e+06,6.57671,6.82506,6.05722,6.68453
-21.3636,3.55396e+06,3.74401e+06,3.6447e+06,3.72797e+06,6.29312,6.91305,5.63476,6.3478
-19.5455,3.57917e+06,3.73866e+06,3.79045e+06,3.83077e+06,6.1291,6.69873,5.31389,6.1983
-17.7273,3.60793e+06,3.72082e+06,3.79981e+06,3.84371e+06,5.96827,6.47314,5.17592,6.04698
-15.9091,3.57773e+06,3.64488e+06,3.78696e+06,3.76556e+06,5.65735,6.1416,5.04246,5.53591
-14.0909,3.49675e+06,3.65504e+06,3.78026e+06,3.74836e+06,5.39453,5.81702,5.04272,5.32035
-12.2727,3.68318e+06,3.73784e+06,3.77755e+06,3.72573e+06,5.19247,5.3632,5.04271,5.11863
-10.4545,3.59744e+06,3.75572e+06,3.95266e+06,3.81354e+06,5.13383,5.21844,5.04229,5.08905
-8.63636,3.80026e+06,3.734e+06,4.00322e+06,3.96983e+06,5.0494,5.06863,5.04217,5.04862
-6.81818,3.84633e+06,3.82577e+06,4.06008e+06,4.08948e+06,5.06499,5.06421,5.04284,5.04164
-5,3.89907e+06,3.76073e+06,4.36358e+06,4.11982e+06,5.04296,5.06277,5.0415,5.04165
