p,alg,metric,mean,ci95
-25,proposed,avg_qoe,1.019021865,0.05862173688
-25,random,avg_qoe,3.175599595,0.1467910066
-25,norm,avg_qoe,3.390612819,0.1218117586
-25,ga_ub,avg_qoe,2.99630902,0.1438747644
-22.14285714,proposed,avg_qoe,0.7909949316,0.04458225996
-22.14285714,random,avg_qoe,2.701274283,0.1538308137
-22.14285714,norm,avg_qoe,3.081138771,0.133822256
-22.14285714,ga_ub,avg_qoe,2.244351243,0.1432048522
-19.28571429,proposed,avg_qoe,0.6841318853,0.03740369562
-19.28571429,random,avg_qoe,2.130766529,0.1489856534
-19.28571429,norm,avg_qoe,2.676558909,0.1450048227
-19.28571429,ga_ub,avg_qoe,1.579076604,0.1266718398
-16.42857143,proposed,avg_qoe,0.6104477172,0.03077009847
-16.42857143,random,avg_qoe,1.697171583,0.1358382975
-16.42857143,norm,avg_qoe,2.140927843,0.14915499
-16.42857143,ga_ub,avg_qoe,1.195272544,0.1045974659
-13.57142857,proposed,avg_qoe,0.5663910838,0.02635347398
-13.57142857,random,avg_qoe,1.379172499,0.1095918739
-13.57142857,norm,avg_qoe,1.579041093,0.1193882779
-13.57142857,ga_ub,avg_qoe,0.9464901928,0.07610274351
-10.71428571,proposed,avg_qoe,0.5290268152,0.02218691183
-10.71428571,random,avg_qoe,1.123729413,0.07750779133
-10.71428571,norm,avg_qoe,1.26892185,0.1078039728
-10.71428571,ga_ub,avg_qoe,0.7787329858,0.06085028941
-7.857142857,proposed,avg_qoe,0.506575509,0.02163470091
-7.857142857,random,avg_qoe,0.9855767618,0.06332561621
-7.857142857,norm,avg_qoe,1.067284183,0.08607504248
-7.857142857,ga_ub,avg_qoe,0.6780996481,0.04928929601
-5,proposed,avg_qoe,0.4855990954,0.02057066297
-5,random,avg_qoe,0.8915336474,0.0565350445
-5,norm,avg_qoe,0.9397879836,0.06934083835
-5,ga_ub,avg_qoe,0.6204637349,0.04249405161
-25,proposed,urgent_qoe,0.5395840352,0.04100572262
-25,random,urgent_qoe,3.791478849,0.2904514495
-25,norm,urgent_qoe,5.024913287,0.2742817041
-25,ga_ub,urgent_qoe,4.264117186,0.2950318151
-22.14285714,proposed,urgent_qoe,0.4323764559,0.03239334346
-22.14285714,random,urgent_qoe,3.16470047,0.27915628
-22.14285714,norm,urgent_qoe,4.561955534,0.2885160932
-22.14285714,ga_ub,urgent_qoe,2.976161568,0.2652581713
-19.28571429,proposed,urgent_qoe,0.3672047809,0.02615091766
-19.28571429,random,urgent_qoe,2.48540111,0.2514139971
