p,alg,metric,mean,ci95
-25,proposed,avg_qoe,0.5683185616,0.05562040109
-25,random,avg_qoe,0.5996381017,0.1377795981
-25,norm,avg_qoe,0.7642524759,0.04997951944
-25,ga_rt,avg_qoe,0.6096618234,0.02767262891
-22.14285714,proposed,avg_qoe,0.5669770824,0.05729237782
-22.14285714,random,avg_qoe,0.6132623849,0.1157049923
-22.14285714,norm,avg_qoe,0.7635969465,0.04727201711
-22.14285714,ga_rt,avg_qoe,0.6082965612,0.04876401927
-19.28571429,proposed,avg_qoe,0.5664681112,0.057710354
-19.28571429,random,avg_qoe,0.6609358568,0.06712190616
-19.28571429,norm,avg_qoe,0.7625732075,0.043983103
-19.28571429,ga_rt,avg_qoe,0.5358356941,0.09060950218
-16.42857143,proposed,avg_qoe,0.5662411344,0.05780407913
-16.42857143,random,avg_qoe,0.6690802352,0.08168107383
-16.42857143,norm,avg_qoe,0.761699008,0.04153597235
-16.42857143,ga_rt,avg_qoe,0.5501434824,0.01678217813
-13.57142857,proposed,avg_qoe,0.5659286159,0.05746800165
-13.57142857,random,avg_qoe,0.7391092478,0.07198661671
-13.57142857,norm,avg_qoe,0.761127243,0.04004000881
-13.57142857,ga_rt,avg_qoe,0.576824407,0.01118123178
-10.71428571,proposed,avg_qoe,0.5201015155,0.1241006186
-10.71428571,random,avg_qoe,0.7342028465,0.04131069865
-10.71428571,norm,avg_qoe,0.7607950914,0.03921029726
-10.71428571,ga_rt,avg_qoe,0.5514998882,0.03025554571
-7.857142857,proposed,avg_qoe,0.5115263365,0.1064012237
-7.857142857,random,avg_qoe,0.6303450057,0.07892711667
-7.857142857,norm,avg_qoe,0.760605186,0.03877383153
-7.857142857,ga_rt,avg_qoe,0.5671226135,0.1002708042
-5,proposed,avg_qoe,0.4970827197,0.07660105451
-5,random,avg_qoe,0.6305129258,0.1660659568
-5,norm,avg_qoe,0.7604869069,0.03856341417
-5,ga_rt,avg_qoe,0.6085817392,0.02470299164
-25,proposed,urgent_qoe,0.6338996292,0.03486077014
-25,random,urgent_qoe,0.7532654449,0.1859718595
-25,norm,urgent_qoe,1.364080695,0
-25,ga_rt,urgent_qoe,0.9040922193,0.005095631074
-22.14285714,proposed,urgent_qoe,0.6357786281,0.034921195
-22.14285714,random,urgent_qoe,0.7519376562,0.1922496089
-22.14285714,norm,urgent_qoe,1.364080695,0
-22.14285714,ga_rt,urgent_qoe,0.7095843296,0.1947634071
-19.28571429,proposed,urgent_qoe,0.6367255704,0.03495422492
-19.28571429,random,urgent_qoe,1.015227698,0.2329879089
-19.28571429,norm,urgent_qoe,1.364080695,0
-19.28571429,ga_rt,urgent_qoe,0.5057480118,0.2431173571
-16.42857143,proposed,urgent_qoe,0.6372212449,0.03495035933
-16.42857143,random,urgent_qoe,1.018259539,0.2231125847
-16.42857143,norm,urgent_qoe,1.364080695,0
-16.42857143,ga_rt,urgent_qoe,0.6414447739,0.0433492971
-13.57142857,proposed,urgent_qoe,0.638892517,0.03216785523
-13.57142857,random,urgent_qoe,1.233659405,0.2556257276
-13.57142857,norm,urgent_qoe,1.364080695,0
-13.57142857,ga_rt,urgent_qoe,0.643661971,0.03499723395
-10.71428571,proposed,urgent_qoe,0.4796953657,0.2289867213
-10.71428571,random,urgent_qoe,1.223061011,0.2763985799
