name,class,which_path
D,not_found,
F,not_found,
G,not_found,
H_ris,not_found,
M,file_or_class,
M_k,not_found,
Qd_mean_all,not_found,
Qs_mean_all,not_found,
RIS,not_found,
Rate,not_found,
Ratio,not_found,
Summary,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\datafun\summary.m
T_tx,not_found,
V_p,not_found,
abs,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elfun\abs)
addParameter,not_found,D:\apply\MATLAB R2025\toolbox\mbc\mbcdata\@cgoptimoptions\addParameter.m
addpath,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\general\addpath.m
all,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\ops\all)
angle,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\elfun\angle.m
any,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\ops\any)
ao_init_assign,not_found,
arg7,not_found,
assign,not_found,D:\apply\MATLAB R2025\toolbox\mbc\mbcdata\@cgoppoint\assign.m
assign_cand,not_found,
assign_fixed,not_found,
assign_tmp,not_found,
assigned,not_found,
avail,not_found,
avg_qoe_all,not_found,
best_gain,not_found,
bs,not_found,
bs_pos,not_found,
c,not_found,variable
c1,not_found,
c2,not_found,
can_use_ris,not_found,
cands,not_found,
cap,not_found,
capacity,not_found,
cell,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\datatypes\cell\cell)
char,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\strfun\char)
child,not_found,
choice,not_found,
choices,not_found,
ci,not_found,
ci95,not_found,
close,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\graphics\graphics\close.p
colors,not_found,
conj,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elfun\conj)
cos,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elfun\cos)
cost_matrix,not_found,
covered,not_found,
d_k,not_found,
d_vec,not_found,
datestr,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\timefun\datestr.m
deadlines,not_found,
delay_vio_vec,not_found,
denom_c_vec,not_found,
denom_p_vec,not_found,
diag,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elmat\diag)
dmax_k,not_found,
dmax_vec,not_found,
double,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\datatypes\double)
e_c,not_found,
e_p,not_found,
error,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\lang\error)
errorbar,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\graphics\graphics\specgraph\errorbar.m
exist,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\lang\exist)
exp,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elfun\exp)
eye,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elmat\eye)
false,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elmat\false)
fclose,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\io\filesystem\fclose)
fieldnames,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\datatypes\struct\fieldnames)
figure,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\graphics\graphics\figure)
fileparts,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\io\filesystem\fileparts.m
fileread,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\io\filesystem\fileread.m
find,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elmat\find)
fit,file_or_class,D:\apply\MATLAB R2025\toolbox\curvefit\curvefit\fit.m
floor,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elfun\floor)
fopen,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\io\filesystem\fopen)
fprintf,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\io\filesystem\fprintf)
fullfile,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\io\filesystem\fullfile.m
ga_rt_budget_target_all,not_found,
ga_rt_eval_calls_all,not_found,
gain_delta,not_found,
gains,not_found,
gamma_c,not_found,
gamma_p,not_found,
gamma_sem,not_found,
gq,not_found,
griddedInterpolant,file_or_class,griddedInterpolant is a built-in method
h_d,not_found,
h_eff,not_found,
hard_mask,not_found,
height,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\elmat\height.m
histBest,not_found,
idx,not_found,
injected,not_found,
iscell,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\datatypes\cell\iscell)
isempty,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elmat\isempty)
isequal,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elmat\isequal)
isfield,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\datatypes\struct\isfield)
