ris_count,alg,metric,mean,ci95
1,proposed,urgent_qoe,1.115545646,0.005376806495
1,random,urgent_qoe,1.289786486,0.01568874929
1,norm,urgent_qoe,1.361844081,0.002586779561
1,ga_rt,urgent_qoe,1.119072131,0.004623103221
1,ga_ub,urgent_qoe,1.116430079,0.003845246293
2,proposed,urgent_qoe,0.8794235696,0.01201652571
2,random,urgent_qoe,1.215407973,0.02146653191
2,norm,urgent_qoe,1.362038638,0.004002431421
2,ga_rt,urgent_qoe,0.9008960956,0.01073045951
2,ga_ub,urgent_qoe,0.8704428583,0.005852403573
3,proposed,urgent_qoe,0.7014809514,0.01988926792
3,random,urgent_qoe,1.127976358,0.02538032691
3,norm,urgent_qoe,1.364080695,1.542551822e-16
3,ga_rt,urgent_qoe,0.7637188509,0.01839476482
3,ga_ub,urgent_qoe,0.627095209,0.0089553208
4,proposed,urgent_qoe,0.6146810213,0.02544545197
4,random,urgent_qoe,1.023442044,0.02564376074
4,norm,urgent_qoe,1.364080695,1.542551822e-16
4,ga_rt,urgent_qoe,0.6492748604,0.01824297064
4,ga_ub,urgent_qoe,0.5153387888,0.01301657828
1,proposed,avg_qoe,0.7073403394,0.002568578879
1,random,avg_qoe,0.7509157304,0.004409499768
1,norm,avg_qoe,0.7682363644,0.002270788163
1,ga_rt,avg_qoe,0.6965172192,0.002338065809
1,ga_ub,avg_qoe,0.7091498384,0.002355310114
2,proposed,avg_qoe,0.6445927099,0.003479116515
2,random,avg_qoe,0.7351228964,0.005826452042
2,norm,avg_qoe,0.7710494288,0.002054444142
2,ga_rt,avg_qoe,0.6402534771,0.003254252194
2,ga_ub,avg_qoe,0.6459537807,0.002673689773
3,proposed,avg_qoe,0.5967778427,0.005507802752
3,random,avg_qoe,0.7151988533,0.006506018125
3,norm,avg_qoe,0.7746532273,0.001970403739
3,ga_rt,avg_qoe,0.6025974946,0.004169585847
3,ga_ub,avg_qoe,0.577364231,0.003448558737
4,proposed,avg_qoe,0.5595088218,0.009662262516
4,random,avg_qoe,0.6883035776,0.007023577102
4,norm,avg_qoe,0.7750076457,0.001908336349
4,ga_rt,avg_qoe,0.5673075704,0.004511144812
4,ga_ub,avg_qoe,0.5182726093,0.00687413686
1,proposed,urgent_delay_vio,0.7525,0.003456106678
1,random,urgent_delay_vio,0.925,0.01591765873
1,norm,urgent_delay_vio,1,0
1,ga_rt,urgent_delay_vio,0.75125,0.00245
1,ga_ub,urgent_delay_vio,0.7525,0.003456106678
2,proposed,urgent_delay_vio,0.51625,0.01046532381
2,random,urgent_delay_vio,0.8475,0.02191071306
2,norm,urgent_delay_vio,1,0
2,ga_rt,urgent_delay_vio,0.525,0.01042055371
2,ga_ub,urgent_delay_vio,0.5025,0.003456106678
3,proposed,urgent_delay_vio,0.33875,0.01899271184
3,random,urgent_delay_vio,0.7625,0.02546588515
3,norm,urgent_delay_vio,1,0
3,ga_rt,urgent_delay_vio,0.38625,0.01798111761
3,ga_ub,urgent_delay_vio,0.2525,0.009183497872
4,proposed,urgent_delay_vio,0.25125,0.02540599952
4,random,urgent_delay_vio,0.65375,0.02568466268
4,norm,urgent_delay_vio,1,0
4,ga_rt,urgent_delay_vio,0.26625,0.01904979952
4,ga_ub,urgent_delay_vio,0.1075,0.0185467642
1,proposed,urgent_semantic_vio,0.95625,0.01319822538
1,random,urgent_semantic_vio,0.98375,0.008563119911
1,norm,urgent_semantic_vio,1,0
1,ga_rt,urgent_semantic_vio,0.94875,0.01402264814
1,ga_ub,urgent_semantic_vio,0.93375,0.01532978798
2,proposed,urgent_semantic_vio,0.93,0.01671624853
2,random,urgent_semantic_vio,0.98,0.01004321316
2,norm,urgent_semantic_vio,1,0
2,ga_rt,urgent_semantic_vio,0.92,0.01796853196
2,ga_ub,urgent_semantic_vio,0.91875,0.01802802641
3,proposed,urgent_semantic_vio,0.92,0.01796853196
3,random,urgent_semantic_vio,0.9525,0.01406238612
3,norm,urgent_semantic_vio,1,0
3,ga_rt,urgent_semantic_vio,0.915,0.01751975769
3,ga_ub,urgent_semantic_vio,0.92,0.01796853196
4,proposed,urgent_semantic_vio,0.92875,0.01715
4,random,urgent_semantic_vio,0.9425,0.01502472167
4,norm,urgent_semantic_vio,1,0
4,ga_rt,urgent_semantic_vio,0.90625,0.01884603547
4,ga_ub,urgent_semantic_vio,0.97,0.01128759714
1,proposed,sum_rate,9830393.892,273391.928
1,random,sum_rate,10676880.15,294111.6497
1,norm,sum_rate,10985633.69,304518.0328
1,ga_rt,sum_rate,13208957.74,488451.573
1,ga_ub,sum_rate,10023283.55,286089.1892
2,proposed,sum_rate,9060536.306,242723.108
2,random,sum_rate,10385183,298608.4055
2,norm,sum_rate,11050143.21,320929.6475
2,ga_rt,sum_rate,12495651.67,518549.6256
2,ga_ub,sum_rate,9080083.517,217463.3404
3,proposed,sum_rate,8769731.303,247373.3379
3,random,sum_rate,10029949.36,271291.0191
3,norm,sum_rate,11170531.94,369653.7245
3,ga_rt,sum_rate,11308840.83,440589.9869
3,ga_ub,sum_rate,8459404.346,192067.9851
4,proposed,sum_rate,9121045.458,292363.0772
4,random,sum_rate,9855060.834,257727.8279
4,norm,sum_rate,11062311.67,326492.624
4,ga_rt,sum_rate,11258811.47,422884.7105
4,ga_ub,sum_rate,11062120.14,567391.3477
1,proposed,urgent_sum_rate,924883.7119,165482.1326
1,random,urgent_sum_rate,402541.8308,181910.9665
1,norm,urgent_sum_rate,293.6920708,56.34272267
1,ga_rt,urgent_sum_rate,1119707.022,270476.7741
1,ga_ub,urgent_sum_rate,1291251.208,243017.8605
2,proposed,urgent_sum_rate,1448791.473,218764.2366
2,random,urgent_sum_rate,559984.0548,155518.8701
2,norm,urgent_sum_rate,287.4028873,60.37996131
2,ga_rt,urgent_sum_rate,1988860.478,408308.8252
2,ga_ub,urgent_sum_rate,1815748.842,220793.5929
3,proposed,urgent_sum_rate,1970876.736,245549.4729
3,random,urgent_sum_rate,963413.1094,180756.0041
3,norm,urgent_sum_rate,291.4720478,43.57516683
3,ga_rt,urgent_sum_rate,2018350.286,358165.4628
3,ga_ub,urgent_sum_rate,2059824.801,207040.6685
4,proposed,urgent_sum_rate,1646355.813,235285.0041
4,random,urgent_sum_rate,1249833.157,183343.5122
4,norm,urgent_sum_rate,274.8889345,38.14066231
4,ga_rt,urgent_sum_rate,2120830,313748.4141
4,ga_ub,urgent_sum_rate,1377665.095,190071.3271
1,proposed,urgent_avg_rate,231220.928,41370.53316
1,random,urgent_avg_rate,100635.4577,45477.74162
1,norm,urgent_avg_rate,73.4230177,14.08568067
1,ga_rt,urgent_avg_rate,279926.7556,67619.19352
1,ga_ub,urgent_avg_rate,322812.8021,60754.46512
2,proposed,urgent_avg_rate,362197.8684,54691.05915
2,random,urgent_avg_rate,139996.0137,38879.71752
2,norm,urgent_avg_rate,71.85072182,15.09499033
2,ga_rt,urgent_avg_rate,497215.1194,102077.2063
2,ga_ub,urgent_avg_rate,453937.2105,55198.39824
3,proposed,urgent_avg_rate,492719.1839,61387.36822
3,random,urgent_avg_rate,240853.2773,45189.00102
3,norm,urgent_avg_rate,72.86801194,10.89379171
3,ga_rt,urgent_avg_rate,504587.5714,89541.36571
3,ga_ub,urgent_avg_rate,514956.2003,51760.16712
4,proposed,urgent_avg_rate,411588.9533,58821.25102
4,random,urgent_avg_rate,312458.2893,45835.87804
4,norm,urgent_avg_rate,68.72223362,9.535165578
4,ga_rt,urgent_avg_rate,530207.5,78437.10352
