ris_count,alg,metric,mean,ci95
1,proposed,urgent_qoe,1.129155977,0.007579105016
1,random,urgent_qoe,1.247704881,0.2280965945
1,norm,urgent_qoe,1.364080695,0
1,ga_rt,urgent_qoe,1.12922689,0.0249618939
2,proposed,urgent_qoe,0.8752019157,0.04737235651
2,random,urgent_qoe,1.248220499,0.2270859833
2,norm,urgent_qoe,1.364080695,0
2,ga_rt,urgent_qoe,0.8836426544,0.08562604509
3,proposed,urgent_qoe,0.6111352018,0.1010377921
3,random,urgent_qoe,0.988328268,0.286808065
3,norm,urgent_qoe,1.364080695,0
3,ga_rt,urgent_qoe,0.9133785903,0.002446782246
4,proposed,urgent_qoe,0.4599860385,0.1903294049
4,random,urgent_qoe,0.9589485321,0.3396601424
4,norm,urgent_qoe,1.364080695,0
4,ga_rt,urgent_qoe,0.5644283469,0.1400114296
1,proposed,avg_qoe,0.6935918779,0.05143284339
1,random,avg_qoe,0.7176165589,0.1070931643
1,norm,avg_qoe,0.759726875,0.03822920555
1,ga_rt,avg_qoe,0.6874612063,0.02372235335
2,proposed,avg_qoe,0.6344546738,0.03772464297
2,random,avg_qoe,0.7404724889,0.105906697
2,norm,avg_qoe,0.7588302574,0.06243502848
2,ga_rt,avg_qoe,0.6426886737,0.03127615395
3,proposed,avg_qoe,0.5572606634,0.04023006897
3,random,avg_qoe,0.6387247312,0.09169245914
3,norm,avg_qoe,0.7514289707,0.04172649854
3,ga_rt,avg_qoe,0.6339897288,0.0272521444
4,proposed,avg_qoe,0.5120367989,0.1074681605
4,random,avg_qoe,0.6495429967,0.1193659204
4,norm,avg_qoe,0.7606124744,0.03878920131
4,ga_rt,avg_qoe,0.5189177587,0.06887938805
1,proposed,urgent_delay_vio,0.75,0
1,random,urgent_delay_vio,0.875,0.245
1,norm,urgent_delay_vio,1,0
1,ga_rt,urgent_delay_vio,0.75,0
2,proposed,urgent_delay_vio,0.5,0
2,random,urgent_delay_vio,0.875,0.245
2,norm,urgent_delay_vio,1,0
2,ga_rt,urgent_delay_vio,0.5,0
3,proposed,urgent_delay_vio,0.25,0
3,random,urgent_delay_vio,0.625,0.245
3,norm,urgent_delay_vio,1,0
3,ga_rt,urgent_delay_vio,0.5,0
4,proposed,urgent_delay_vio,0.125,0.245
4,random,urgent_delay_vio,0.625,0.245
4,norm,urgent_delay_vio,1,0
4,ga_rt,urgent_delay_vio,0.25,0
1,proposed,urgent_semantic_vio,1,0
1,random,urgent_semantic_vio,1,0
1,norm,urgent_semantic_vio,1,0
1,ga_rt,urgent_semantic_vio,1,0
2,proposed,urgent_semantic_vio,0.875,0.245
2,random,urgent_semantic_vio,1,0
2,norm,urgent_semantic_vio,1,0
2,ga_rt,urgent_semantic_vio,0.875,0.245
3,proposed,urgent_semantic_vio,0.875,0.245
3,random,urgent_semantic_vio,1,0
3,norm,urgent_semantic_vio,1,0
3,ga_rt,urgent_semantic_vio,1,0
4,proposed,urgent_semantic_vio,0.875,0.245
4,random,urgent_semantic_vio,1,0
4,norm,urgent_semantic_vio,1,0
4,ga_rt,urgent_semantic_vio,1,0
1,proposed,sum_rate,9801862.04,2260155.959
1,random,sum_rate,11946068.84,1187640.869
1,norm,sum_rate,12080921.64,4634751.924
1,ga_rt,sum_rate,12740061.79,8762608.444
2,proposed,sum_rate,9742517.533,788243.7918
2,random,sum_rate,12221275.33,6109954.515
2,norm,sum_rate,11796367.82,1764866.285
2,ga_rt,sum_rate,13695135.5,10346715.42
3,proposed,sum_rate,11988218.45,3576919.389
3,random,sum_rate,13368488.21,465755.9658
3,norm,sum_rate,10868770.53,558460.6519
3,ga_rt,sum_rate,14924557.88,4509051.289
4,proposed,sum_rate,7462431.674,685470.3212
4,random,sum_rate,8938091.649,1383764.338
4,norm,sum_rate,10963078.99,1797096.193
4,ga_rt,sum_rate,8954573.2,788403.2902
1,proposed,urgent_sum_rate,751784.0193,127067.7261
1,random,urgent_sum_rate,22069.11398,43194.23845
1,norm,urgent_sum_rate,95.8620857,135.8675569
1,ga_rt,urgent_sum_rate,520247.7095,986772.1664
2,proposed,urgent_sum_rate,1580511.196,2467082.503
2,random,urgent_sum_rate,217785.8082,426536.5849
2,norm,urgent_sum_rate,119.4866595,149.781819
2,ga_rt,urgent_sum_rate,1927234.44,2793478.023
3,proposed,urgent_sum_rate,4390666.186,7594645.524
3,random,urgent_sum_rate,243196.5208,350915.2329
3,norm,urgent_sum_rate,245.5750865,194.3848589
3,ga_rt,urgent_sum_rate,96855.481,1312.949541
4,proposed,urgent_sum_rate,1483131.937,2764082.966
4,random,urgent_sum_rate,156707.7772,40073.97015
4,norm,urgent_sum_rate,464.1798312,742.3496311
4,ga_rt,urgent_sum_rate,1558342.42,1587540.354
1,proposed,urgent_avg_rate,187946.0048,31766.93153
1,random,urgent_avg_rate,5517.278496,10798.55961
1,norm,urgent_avg_rate,23.96552143,33.96688922
1,ga_rt,urgent_avg_rate,130061.9274,246693.0416
2,proposed,urgent_avg_rate,395127.7989,616770.6258
2,random,urgent_avg_rate,54446.45206,106634.1462
2,norm,urgent_avg_rate,29.87166487,37.44545475
2,ga_rt,urgent_avg_rate,481808.6101,698369.5059
3,proposed,urgent_avg_rate,1097666.546,1898661.381
3,random,urgent_avg_rate,60799.13021,87728.80821
3,norm,urgent_avg_rate,61.39377163,48.59621473
3,ga_rt,urgent_avg_rate,24213.87025,328.2373853
4,proposed,urgent_avg_rate,370782.9843,691020.7415
4,random,urgent_avg_rate,39176.94429,10018.49254
4,norm,urgent_avg_rate,116.0449578,185.5874078
4,ga_rt,urgent_avg_rate,389585.605,396885.0886
1,proposed,ris_count,1,0
1,random,ris_count,1,0
1,norm,ris_count,1,0
1,ga_rt,ris_count,1,0
2,proposed,ris_count,2,0
2,random,ris_count,2,0
2,norm,ris_count,2,0
2,ga_rt,ris_count,2,0
3,proposed,ris_count,3,0
3,random,ris_count,3,0
3,norm,ris_count,3,0
3,ga_rt,ris_count,3,0
4,proposed,ris_count,1.5,2.94
4,random,ris_count,4,0
4,norm,ris_count,4,0
4,ga_rt,ris_count,4,0
