x_val,random_sum_rate,norm_sum_rate,qoe_sum_rate,exhaustive_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,qoe_avg_qoe,exhaustive_avg_qoe,ga_avg_qoe,random_deadline_vio,norm_deadline_vio,qoe_deadline_vio,exhaustive_deadline_vio,ga_deadline_vio,random_semantic_vio,norm_semantic_vio,qoe_semantic_vio,exhaustive_semantic_vio,ga_semantic_vio
-25,2.58112e+06,2.75145e+06,2.78128e+06,2.77249e+06,2.77236e+06,6.37605,6.47776,5.86724,6.14204,6.17562,0.470833,0.483333,0.408333,0.441667,0.445833,1,1,1,1,1
-23.1818,2.64262e+06,2.87821e+06,2.71223e+06,2.88957e+06,2.91316e+06,5.80239,6.03864,5.03111,5.90228,5.86896,0.4,0.429167,0.304167,0.4125,0.408333,1,1,1,1,1
-21.3636,2.75855e+06,2.83062e+06,2.7468e+06,2.83135e+06,2.83468e+06,5.23233,6.20209,4.3632,5.55747,5.55772,0.329167,0.45,0.220833,0.370833,0.370833,1,1,1,0.995833,0.995833
-19.5455,2.68841e+06,2.78351e+06,2.89128e+06,2.84584e+06,2.81323e+06,5.16524,5.72389,3.89494,5.02213,4.98888,0.320833,0.391667,0.1625,0.304167,0.3,1,0.995833,1,0.995833,0.995833
-17.7273,2.69444e+06,2.90447e+06,2.80593e+06,2.82598e+06,2.85491e+06,4.73006,5.2971,3.09467,4.68729,4.6631,0.266667,0.3375,0.0625,0.2625,0.258333,1,1,1,0.995833,1
-15.9091,2.62113e+06,2.73556e+06,2.7946e+06,2.72793e+06,2.76206e+06,3.76274,4.49641,2.62761,3.76227,3.76217,0.145833,0.2375,0.00416667,0.145833,0.145833,1,1,1,1,1
-14.0909,2.9063e+06,2.79101e+06,2.84578e+06,2.83952e+06,2.82344e+06,3.41898,3.79535,2.59408,3.38584,3.38603,0.104167,0.15,0,0.1,0.1,0.995833,1,1,0.995833,0.995833
-12.2727,2.69806e+06,2.9123e+06,2.9689e+06,3.0275e+06,2.97616e+06,2.99482,3.29429,2.59344,2.98506,2.98528,0.05,0.0875,0,0.05,0.05,1,1,1,0.995833,0.995833
-10.4545,2.83543e+06,2.92098e+06,3.13698e+06,2.97886e+06,2.92356e+06,2.72746,2.76048,2.59334,2.6273,2.6275,0.0166667,0.0208333,0,0.00416667,0.00416667,1,1,1,1,1
-8.63636,2.92292e+06,2.89651e+06,3.00688e+06,3.09018e+06,3.1579e+06,2.66047,2.69406,2.5941,2.66001,2.65981,0.00833333,0.0125,0,0.00833333,0.00833333,1,1,1,1,1
-6.81818,3.12315e+06,3.02927e+06,3.33321e+06,3.27167e+06,3.17828e+06,2.62677,2.62665,2.59345,2.6265,2.62691,0.00416667,0.00416667,0,0.00416667,0.00416667,1,1,1,1,1
-5,3.1763e+06,2.99054e+06,3.43665e+06,3.43875e+06,3.43028e+06,2.59368,2.59388,2.59363,2.58392,2.58391,0,0,0,0,0,1,1,1,0.995833,0.995833
