snr_db,M,xi
-20,4,0.004774283718035391
-19,4,0.006005805389704338
-18,4,0.007553481349173452
-17,4,0.009497590819907064
-16,4,0.011938283035257968
-15,4,0.015000194526603854
-14,4,0.01883796163741107
-13,4,0.02364269250224803
-12,4,0.02964938921529345
-11,4,0.03714517316468278
-10,4,0.0464779285226164
-9,4,0.058064590405428086
-8,4,0.07239769967061525
-7,4,0.09004794915801156
-6,4,0.11165918603328683
-5,4,0.13793069045757247
-4,4,0.16957963916769223
-3,4,0.2072749014187954
-2,4,0.251532677559135
-1,4,0.30256682795163997
0,4,0.3600950042736521
1,4,0.42311960939828375
2,4,0.4897328684806229
3,4,0.557035041961441
4,4,0.6212880543597968
5,4,0.6784174792548937
6,4,0.7248742092234546
7,4,0.7586502936582705
8,4,0.7799929400199084
9,4,0.7913079260850675
10,4,0.7961251812621188
11,4,0.7976850806826934
12,4,0.7980442990022986
13,4,0.7980984368943478
14,4,0.7981032546690865
15,4,0.7981034774144135
16,4,0.7981034819715914
17,4,0.798103482005275
18,4,0.7981034820053446
19,4,0.7981034820053446
20,4,0.7981034820053446
21,4,0.7981034820053446
22,4,0.7981034820053446
23,4,0.7981034820053446
24,4,0.7981034820053446
25,4,0.7981034820053446
26,4,0.7981034820053446
27,4,0.7981034820053446
28,4,0.7981034820053446
29,4,0.7981034820053446
30,4,0.7981034820053446
-20,8,0.005738194976625315
-19,8,0.007218356585639177
-18,8,0.009078502932309144
-17,8,0.011415121335784305
-16,8,0.014348580810911218
-15,8,0.01802868157076766
-14,8,0.022641280498121263
-13,8,0.028416069794470256
-12,8,0.03563549765852948
-11,8,0.04464465428694075
-10,8,0.05586166045493714
-9,8,0.06978762902706989
-8,8,0.08701454314493529
-7,8,0.10822831654557387
-6,8,0.1342027868955249
-5,8,0.165778416585555
-4,8,0.20381717783843936
-3,8,0.24912298228293564
-2,8,0.30231624932019674
-1,8,0.36365401697576405
0,8,0.432796931783773
1,8,0.5085459852310559
2,8,0.5886082293743953
3,8,0.6694984773344627
4,8,0.746723949206714
5,8,0.8153876060631681
6,8,0.8712237880497994
7,8,0.9118191463234981
8,8,0.937470798670342
9,8,0.9510702410232148
10,8,0.9568600832468046
11,8,0.958734920928815
12,8,0.9591666641763483
13,8,0.9592317323202939
14,8,0.9592375227869768
15,8,0.9592377905038096
16,8,0.9592377959810661
17,8,0.9592377960215502
18,8,0.9592377960216338
19,8,0.9592377960216338
20,8,0.9592377960216338
21,8,0.9592377960216338
22,8,0.9592377960216338
23,8,0.9592377960216338
24,8,0.9592377960216338
25,8,0.9592377960216338
26,8,0.9592377960216338
27,8,0.9592377960216338
28,8,0.9592377960216338
29,8,0.9592377960216338
30,8,0.9592377960216338
-20,16,0.005972096450730152
-19,16,0.0075125927091715845
-18,16,0.009448562720654126
-17,16,0.011880426840111343
-16,16,0.01493346058872565
-15,16,0.018763570366416304
-14,16,0.023564188992117083
-13,16,0.029574371427695943
-12,16,0.037088079082957054
-11,16,0.046464468791528664
-10,16,0.05813870485297151
-9,16,0.07263232659663786
-8,16,0.09056144770169348
-7,16,0.11263994126083973
-6,16,0.13967318826942549
-5,16,0.17253591021762593
-4,16,0.21212521521578476
-3,16,0.25927778410245156
-2,16,0.3146393259409612
-1,16,0.3784773561932823
0,16,0.4504386885983542
1,16,0.5292754404134233
2,16,0.6126011980834992
3,16,0.6967887108307756
4,16,0.7771620631398092
5,16,0.8486246019829466
6,16,0.9067367898090901
7,16,0.9489869043573163
8,16,0.9756841745895042
9,16,0.9898379601855569
10,16,0.9958638091388672
11,16,0.997815069336898
12,16,0.9982644113907536
13,16,0.9983321318556552
14,16,0.9983381583545222
15,16,0.9983384369840832
16,16,0.9983384426846046
17,16,0.998338442726739
18,16,0.998338442726826
19,16,0.998338442726826
20,16,0.998338442726826
21,16,0.998338442726826
22,16,0.998338442726826
23,16,0.998338442726826
24,16,0.998338442726826
25,16,0.998338442726826
26,16,0.998338442726826
27,16,0.998338442726826
28,16,0.998338442726826
29,16,0.998338442726826
30,16,0.998338442726826
-20,32,0.005982019431023959
-19,32,0.007525075312227902
-18,32,0.009464262048763668
-17,32,0.011900166849735942
-16,32,0.014958273388780505
-15,32,0.018794747113229333
-14,32,0.023603342241723384
-13,32,0.02962351093964118
-12,32,0.03714970305050539
-11,32,0.0465416721675934
-10,32,0.058235305640872884
-9,32,0.07275300936716206
-8,32,0.09071192073379139
-7,32,0.11282709897449157
-6,32,0.13990526327126193
-5,32,0.17282258851413174
-4,32,0.21247767340995014
-3,32,0.25970858899039945
-2,32,0.31516211720140497
-1,32,0.37910621799719696
0,32,0.45118711827751373
1,32,0.5301548618709546
2,32,0.61361907005973
3,32,0.697946465181122
4,32,0.778453362418254
5,32,0.8500346403625658
6,32,0.9082433849170518
7,32,0.9505637004503981
8,32,0.9773053297261142
9,32,0.9914826326475669
10,32,0.9975184938940327
11,32,0.9994729962226374
12,32,0.9999230848840507
13,32,0.9999909178703833
14,32,0.9999969543826233
15,32,0.9999972334751432
16,32,0.9999972391851364
17,32,0.9999972392273409
18,32,0.999997239227428
19,32,0.999997239227428
20,32,0.999997239227428
21,32,0.999997239227428
22,32,0.999997239227428
23,32,0.999997239227428
24,32,0.999997239227428
25,32,0.999997239227428
26,32,0.999997239227428
27,32,0.999997239227428
28,32,0.999997239227428
29,32,0.999997239227428
30,32,0.999997239227428
